ID,Nombre,Tipo,HP,Ataque,Defensa,Ataque Especial,Defensa Especial,Velocidad,Altura,Peso,Experiencia Base,URL imagen
42,golbat,"['poison', 'flying']",75,80,70,65,75,90,16,550,159,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png
43,oddish,"['grass', 'poison']",45,50,55,75,65,30,5,54,64,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png
44,gloom,"['grass', 'poison']",60,65,70,85,75,40,8,86,138,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png
45,vileplume,"['grass', 'poison']",75,80,85,110,90,50,12,186,245,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png
46,paras,"['bug', 'grass']",35,70,55,45,55,25,3,54,57,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png
47,parasect,"['bug', 'grass']",60,95,80,60,80,30,10,295,142,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png
48,venonat,"['bug', 'poison']",60,55,50,40,55,45,10,300,61,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png
49,venomoth,"['bug', 'poison']",70,65,60,90,75,90,15,125,158,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png
50,diglett,['ground'],10,55,25,35,45,95,2,8,53,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png
51,dugtrio,['ground'],35,100,50,50,70,120,7,333,149,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png
52,meowth,['normal'],40,45,35,40,40,90,4,42,58,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png
53,persian,['normal'],65,70,60,65,65,115,10,320,154,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png
54,psyduck,['water'],50,52,48,65,50,55,8,196,64,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png
55,golduck,['water'],80,82,78,95,80,85,17,766,175,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png
56,mankey,['fighting'],40,80,35,35,45,70,5,280,61,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png
57,primeape,['fighting'],65,105,60,60,70,95,10,320,159,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png
58,growlithe,['fire'],55,70,45,70,50,60,7,190,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png
59,arcanine,['fire'],90,110,80,100,80,95,19,1550,194,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png
60,poliwag,['water'],40,50,40,40,40,90,6,124,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png
61,poliwhirl,['water'],65,65,65,50,50,90,10,200,135,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png
62,poliwrath,"['water', 'fighting']",90,95,95,70,90,70,13,540,255,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png
63,abra,['psychic'],25,20,15,105,55,90,9,195,62,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png
64,kadabra,['psychic'],40,35,30,120,70,105,13,565,140,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png
65,alakazam,['psychic'],55,50,45,135,95,120,15,480,250,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png
66,machop,['fighting'],70,80,50,35,35,35,8,195,61,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png
67,machoke,['fighting'],80,100,70,50,60,45,15,705,142,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png
68,machamp,['fighting'],90,130,80,65,85,55,16,1300,253,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png
69,bellsprout,"['grass', 'poison']",50,75,35,70,30,40,7,40,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png
70,weepinbell,"['grass', 'poison']",65,90,50,85,45,55,10,64,137,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png
71,victreebel,"['grass', 'poison']",80,105,65,100,70,70,17,155,221,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png
72,tentacool,"['water', 'poison']",40,40,35,50,100,70,9,455,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png
73,tentacruel,"['water', 'poison']",80,70,65,80,120,100,16,550,180,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png
74,geodude,"['rock', 'ground']",40,80,100,30,30,20,4,200,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png
75,graveler,"['rock', 'ground']",55,95,115,45,45,35,10,1050,137,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png
76,golem,"['rock', 'ground']",80,120,130,55,65,45,14,3000,223,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png
77,ponyta,['fire'],50,85,55,65,65,90,10,300,82,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png
78,rapidash,['fire'],65,100,70,80,80,105,17,950,175,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png
79,slowpoke,"['water', 'psychic']",90,65,65,40,40,15,12,360,63,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png
80,slowbro,"['water', 'psychic']",95,75,110,100,80,30,16,785,172,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png
81,magnemite,"['electric', 'steel']",25,35,70,95,55,45,3,60,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png
82,magneton,"['electric', 'steel']",50,60,95,120,70,70,10,600,163,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png
83,farfetchd,"['normal', 'flying']",52,90,55,58,62,60,8,150,132,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png
84,doduo,"['normal', 'flying']",35,85,45,35,35,75,14,392,62,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png
85,dodrio,"['normal', 'flying']",60,110,70,60,60,110,18,852,165,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png
86,seel,['water'],65,45,55,45,70,45,11,900,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png
87,dewgong,"['water', 'ice']",90,70,80,70,95,70,17,1200,166,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png
88,grimer,['poison'],80,80,50,40,50,25,9,300,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png
89,muk,['poison'],105,105,75,65,100,50,12,300,175,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png
90,shellder,['water'],30,65,100,45,25,40,3,40,61,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png
91,cloyster,"['water', 'ice']",50,95,180,85,45,70,15,1325,184,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png
92,gastly,"['ghost', 'poison']",30,35,30,100,35,80,13,1,62,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png
93,haunter,"['ghost', 'poison']",45,50,45,115,55,95,16,1,142,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png
94,gengar,"['ghost', 'poison']",60,65,60,130,75,110,15,405,250,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png
95,onix,"['rock', 'ground']",35,45,160,30,45,70,88,2100,77,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png
96,drowzee,['psychic'],60,48,45,43,90,42,10,324,66,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png
97,hypno,['psychic'],85,73,70,73,115,67,16,756,169,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png
98,krabby,['water'],30,105,90,25,25,50,4,65,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png
99,kingler,['water'],55,130,115,50,50,75,13,600,166,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png
100,voltorb,['electric'],40,30,50,55,55,100,5,104,66,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png
101,electrode,['electric'],60,50,70,80,80,150,12,666,172,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png
102,exeggcute,"['grass', 'psychic']",60,40,80,60,45,40,4,25,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png
103,exeggutor,"['grass', 'psychic']",95,95,85,125,75,55,20,1200,186,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png
104,cubone,['ground'],50,50,95,40,50,35,4,65,64,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png
105,marowak,['ground'],60,80,110,50,80,45,10,450,149,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png
106,hitmonlee,['fighting'],50,120,53,35,110,87,15,498,159,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png
107,hitmonchan,['fighting'],50,105,79,35,110,76,14,502,159,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png
108,lickitung,['normal'],90,55,75,60,75,30,12,655,77,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png
109,koffing,['poison'],40,65,95,60,45,35,6,10,68,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png
110,weezing,['poison'],65,90,120,85,70,60,12,95,172,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png
111,rhyhorn,"['ground', 'rock']",80,85,95,30,30,25,10,1150,69,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png
112,rhydon,"['ground', 'rock']",105,130,120,45,45,40,19,1200,170,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png
113,chansey,['normal'],250,5,5,35,105,50,11,346,395,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png
114,tangela,['grass'],65,55,115,100,40,60,10,350,87,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png
115,kangaskhan,['normal'],105,95,80,40,80,90,22,800,172,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png
116,horsea,['water'],30,40,70,70,25,60,4,80,59,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png
117,seadra,['water'],55,65,95,95,45,85,12,250,154,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png
118,goldeen,['water'],45,67,60,35,50,63,6,150,64,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png
119,seaking,['water'],80,92,65,65,80,68,13,390,158,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.png
120,staryu,['water'],30,45,55,70,55,85,8,345,68,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/120.png
121,starmie,"['water', 'psychic']",60,75,85,100,85,115,11,800,182,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/121.png
122,mr-mime,"['psychic', 'fairy']",40,45,65,100,120,90,13,545,161,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/122.png
123,scyther,"['bug', 'flying']",70,110,80,55,80,105,15,560,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.png
124,jynx,"['ice', 'psychic']",65,50,35,115,95,95,14,406,159,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/124.png
125,electabuzz,['electric'],65,83,57,95,85,105,11,300,172,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.png
126,magmar,['fire'],65,95,57,100,85,93,13,445,173,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/126.png
127,pinsir,['bug'],65,125,100,55,70,85,15,550,175,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.png
128,tauros,['normal'],75,100,95,40,70,110,14,884,172,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/128.png
129,magikarp,['water'],20,10,55,15,20,80,9,100,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/129.png
130,gyarados,"['water', 'flying']",95,125,79,60,100,81,65,2350,189,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/130.png
131,lapras,"['water', 'ice']",130,85,80,85,95,60,25,2200,187,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/131.png
132,ditto,['normal'],48,48,48,48,48,48,3,40,101,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/132.png
133,eevee,['normal'],55,55,50,45,65,55,3,65,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/133.png
134,vaporeon,['water'],130,65,60,110,95,65,10,290,184,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/134.png
135,jolteon,['electric'],65,65,60,110,95,130,8,245,184,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/135.png
136,flareon,['fire'],65,130,60,95,110,65,9,250,184,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/136.png
137,porygon,['normal'],65,60,70,85,75,40,8,365,79,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/137.png
138,omanyte,"['rock', 'water']",35,40,100,90,55,35,4,75,71,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/138.png
139,omastar,"['rock', 'water']",70,60,125,115,70,55,10,350,173,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/139.png
140,kabuto,"['rock', 'water']",30,80,90,55,45,55,5,115,71,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/140.png
141,kabutops,"['rock', 'water']",60,115,105,65,70,80,13,405,173,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/141.png
142,aerodactyl,"['rock', 'flying']",80,105,65,60,75,130,18,590,180,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/142.png
143,snorlax,['normal'],160,110,65,65,110,30,21,4600,189,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/143.png
144,articuno,"['ice', 'flying']",90,85,100,95,125,85,17,554,290,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/144.png
145,zapdos,"['electric', 'flying']",90,90,85,125,90,100,16,526,290,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/145.png
146,moltres,"['fire', 'flying']",90,100,90,125,85,90,20,600,290,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/146.png
147,dratini,['dragon'],41,64,45,50,50,50,18,33,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/147.png
148,dragonair,['dragon'],61,84,65,70,70,70,40,165,147,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/148.png
149,dragonite,"['dragon', 'flying']",91,134,95,100,100,80,22,2100,300,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/149.png
150,mewtwo,['psychic'],106,110,90,154,90,130,20,1220,340,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/150.png
151,mew,['psychic'],100,100,100,100,100,100,4,40,300,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/151.png
152,chikorita,['grass'],45,49,65,49,65,45,9,64,64,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/152.png
153,bayleef,['grass'],60,62,80,63,80,60,12,158,142,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/153.png
154,meganium,['grass'],80,82,100,83,100,80,18,1005,236,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/154.png
155,cyndaquil,['fire'],39,52,43,60,50,65,5,79,62,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/155.png
156,quilava,['fire'],58,64,58,80,65,80,9,190,142,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/156.png
157,typhlosion,['fire'],78,84,78,109,85,100,17,795,240,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/157.png
158,totodile,['water'],50,65,64,44,48,43,6,95,63,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/158.png
159,croconaw,['water'],65,80,80,59,63,58,11,250,142,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/159.png
160,feraligatr,['water'],85,105,100,79,83,78,23,888,239,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/160.png
161,sentret,['normal'],35,46,34,35,45,20,8,60,43,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/161.png
162,furret,['normal'],85,76,64,45,55,90,18,325,145,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/162.png
163,hoothoot,"['normal', 'flying']",60,30,30,36,56,50,7,212,52,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/163.png
164,noctowl,"['normal', 'flying']",100,50,50,86,96,70,16,408,158,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/164.png
165,ledyba,"['bug', 'flying']",40,20,30,40,80,55,10,108,53,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/165.png
166,ledian,"['bug', 'flying']",55,35,50,55,110,85,14,356,137,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/166.png
167,spinarak,"['bug', 'poison']",40,60,40,40,40,30,5,85,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/167.png
168,ariados,"['bug', 'poison']",70,90,70,60,70,40,11,335,140,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/168.png
169,crobat,"['poison', 'flying']",85,90,80,70,80,130,18,750,268,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/169.png
170,chinchou,"['water', 'electric']",75,38,38,56,56,67,5,120,66,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/170.png
171,lanturn,"['water', 'electric']",125,58,58,76,76,67,12,225,161,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/171.png
172,pichu,['electric'],20,40,15,35,35,60,3,20,41,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/172.png
173,cleffa,['fairy'],50,25,28,45,55,15,3,30,44,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/173.png
174,igglybuff,"['normal', 'fairy']",90,30,15,40,20,15,3,10,42,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/174.png
175,togepi,['fairy'],35,20,65,40,65,20,3,15,49,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/175.png
176,togetic,"['fairy', 'flying']",55,40,85,80,105,40,6,32,142,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/176.png
177,natu,"['psychic', 'flying']",40,50,45,70,45,70,2,20,64,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/177.png
178,xatu,"['psychic', 'flying']",65,75,70,95,70,95,15,150,165,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/178.png
179,mareep,['electric'],55,40,40,65,45,35,6,78,56,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/179.png
180,flaaffy,['electric'],70,55,55,80,60,45,8,133,128,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/180.png
181,ampharos,['electric'],90,75,85,115,90,55,14,615,230,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/181.png
182,bellossom,['grass'],75,80,95,90,100,50,4,58,245,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/182.png
183,marill,"['water', 'fairy']",70,20,50,20,50,40,4,85,88,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/183.png
184,azumarill,"['water', 'fairy']",100,50,80,60,80,50,8,285,210,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/184.png
185,sudowoodo,['rock'],70,100,115,30,65,30,12,380,144,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/185.png
186,politoed,['water'],90,75,75,90,100,70,11,339,250,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/186.png
187,hoppip,"['grass', 'flying']",35,35,40,35,55,50,4,5,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/187.png
188,skiploom,"['grass', 'flying']",55,45,50,45,65,80,6,10,119,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/188.png
189,jumpluff,"['grass', 'flying']",75,55,70,55,95,110,8,30,207,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/189.png
190,aipom,['normal'],55,70,55,40,55,85,8,115,72,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/190.png
191,sunkern,['grass'],30,30,30,30,30,30,3,18,36,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/191.png
