ID,Nombre,Tipo,Ataque,Ataque Especial,Defensa,Velocidad,Altura,Peso,Defensa Especial,Habilidades,Experiencia Base,Movimientos,URL imagen,Estadísticas Base
11,metapod,['bug'],20,25,55,30,7,99,25,shed-skin,72,"string-shot, harden, iron-defense, bug-bite, electroweb",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,"{'hp': 50, 'attack': 20, 'defense': 55, 'special-attack': 25, 'special-defense': 25, 'speed': 30}"
12,butterfree,"['bug', 'flying']",45,90,50,70,11,320,80,"compound-eyes, tinted-lens",198,"razor-wind, gust, whirlwind, headbutt, tackle, take-down, double-edge, supersonic, psybeam, hyper-beam, mega-drain, solar-beam, poison-powder, stun-spore, sleep-powder, string-shot, toxic, confusion, psychic, rage, teleport, mimic, double-team, harden, reflect, bide, swift, dream-eater, flash, psywave, rest, substitute, thief, nightmare, snore, curse, protect, giga-drain, endure, swagger, attract, sleep-talk, return, frustration, safeguard, baton-pass, sweet-scent, hidden-power, twister, rain-dance, sunny-day, psych-up, shadow-ball, facade, skill-swap, secret-power, air-cutter, silver-wind, signal-beam, aerial-ace, iron-defense, roost, natural-gift, tailwind, u-turn, air-slash, bug-buzz, energy-ball, giga-impact, defog, captivate, bug-bite, ominous-wind, venoshock, rage-powder, quiver-dance, round, acrobatics, struggle-bug, electroweb, hurricane, draining-kiss, confide, infestation, pollen-puff, dual-wingbeat",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,"{'hp': 60, 'attack': 45, 'defense': 50, 'special-attack': 90, 'special-defense': 80, 'speed': 70}"
13,weedle,"['bug', 'poison']",35,20,30,50,3,32,20,"shield-dust, run-away",39,"poison-sting, string-shot, bug-bite, electroweb",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,"{'hp': 40, 'attack': 35, 'defense': 30, 'special-attack': 20, 'special-defense': 20, 'speed': 50}"
14,kakuna,"['bug', 'poison']",25,25,50,35,6,100,25,shed-skin,72,"string-shot, harden, iron-defense, bug-bite, electroweb",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,"{'hp': 45, 'attack': 25, 'defense': 50, 'special-attack': 25, 'special-defense': 25, 'speed': 35}"
15,beedrill,"['bug', 'poison']",90,45,40,75,10,295,80,"swarm, sniper",178,"swords-dance, cut, headbutt, fury-attack, take-down, double-edge, poison-sting, twineedle, pin-missile, hyper-beam, peck, mega-drain, solar-beam, string-shot, toxic, agility, rage, mimic, double-team, harden, reflect, focus-energy, bide, swift, skull-bash, flash, rest, substitute, thief, snore, curse, protect, sludge-bomb, outrage, giga-drain, endure, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, pursuit, sweet-scent, hidden-power, sunny-day, rock-smash, facade, brick-break, knock-off, endeavor, secret-power, air-cutter, silver-wind, aerial-ace, roost, natural-gift, tailwind, u-turn, payback, assurance, toxic-spikes, poison-jab, x-scissor, giga-impact, defog, captivate, bug-bite, ominous-wind, venoshock, round, acrobatics, struggle-bug, electroweb, drill-run, fell-stinger, confide, infestation, laser-focus, throat-chop, brutal-swing",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,"{'hp': 65, 'attack': 90, 'defense': 40, 'special-attack': 45, 'special-defense': 80, 'speed': 75}"
16,pidgey,"['normal', 'flying']",45,35,40,56,3,18,35,"keen-eye, tangled-feet, big-pecks",50,"razor-wind, gust, wing-attack, whirlwind, fly, sand-attack, headbutt, tackle, take-down, double-edge, toxic, agility, quick-attack, rage, mimic, double-team, reflect, bide, mirror-move, swift, sky-attack, rest, substitute, thief, snore, curse, protect, feint-attack, mud-slap, foresight, detect, endure, swagger, steel-wing, attract, sleep-talk, return, frustration, pursuit, hidden-power, twister, rain-dance, sunny-day, uproar, heat-wave, facade, secret-power, feather-dance, air-cutter, aerial-ace, roost, natural-gift, pluck, tailwind, u-turn, air-slash, brave-bird, defog, captivate, ominous-wind, round, work-up, hurricane, confide",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,"{'hp': 40, 'attack': 45, 'defense': 40, 'special-attack': 35, 'special-defense': 35, 'speed': 56}"
17,pidgeotto,"['normal', 'flying']",60,50,55,71,11,300,50,"keen-eye, tangled-feet, big-pecks",122,"razor-wind, gust, wing-attack, whirlwind, fly, sand-attack, headbutt, tackle, take-down, double-edge, toxic, agility, quick-attack, rage, mimic, double-team, reflect, bide, mirror-move, swift, sky-attack, rest, substitute, thief, snore, curse, protect, mud-slap, detect, endure, swagger, steel-wing, attract, sleep-talk, return, frustration, hidden-power, twister, rain-dance, sunny-day, uproar, heat-wave, facade, secret-power, feather-dance, air-cutter, aerial-ace, roost, natural-gift, pluck, tailwind, u-turn, air-slash, defog, captivate, ominous-wind, round, work-up, hurricane, confide",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,"{'hp': 63, 'attack': 60, 'defense': 55, 'special-attack': 50, 'special-defense': 50, 'speed': 71}"
18,pidgeot,"['normal', 'flying']",80,70,75,101,15,395,70,"keen-eye, tangled-feet, big-pecks",216,"razor-wind, gust, wing-attack, whirlwind, fly, sand-attack, headbutt, tackle, take-down, double-edge, hyper-beam, toxic, agility, quick-attack, rage, mimic, double-team, reflect, bide, mirror-move, swift, sky-attack, rest, substitute, thief, snore, curse, protect, mud-slap, detect, endure, swagger, steel-wing, attract, sleep-talk, return, frustration, hidden-power, twister, rain-dance, sunny-day, uproar, heat-wave, facade, secret-power, feather-dance, air-cutter, aerial-ace, roost, natural-gift, pluck, tailwind, u-turn, air-slash, giga-impact, defog, captivate, ominous-wind, round, work-up, hurricane, confide, laser-focus",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,"{'hp': 83, 'attack': 80, 'defense': 75, 'special-attack': 70, 'special-defense': 70, 'speed': 101}"
19,rattata,['normal'],56,25,35,72,3,35,35,"run-away, guts, hustle",51,"cut, headbutt, tackle, body-slam, take-down, double-edge, tail-whip, bite, water-gun, ice-beam, blizzard, bubble-beam, counter, thunderbolt, thunder-wave, thunder, dig, toxic, quick-attack, rage, mimic, screech, double-team, defense-curl, focus-energy, bide, swift, skull-bash, fury-swipes, rest, hyper-fang, super-fang, substitute, thief, flame-wheel, snore, curse, reversal, protect, sludge-bomb, mud-slap, icy-wind, endure, swagger, attract, sleep-talk, return, frustration, pursuit, iron-tail, hidden-power, rain-dance, sunny-day, crunch, shadow-ball, rock-smash, uproar, facade, taunt, revenge, endeavor, secret-power, covet, shock-wave, natural-gift, pluck, u-turn, assurance, me-first, last-resort, sucker-punch, zen-headbutt, captivate, grass-knot, charge-beam, round, retaliate, final-gambit, work-up, wild-charge, confide, laser-focus",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,"{'hp': 30, 'attack': 56, 'defense': 35, 'special-attack': 25, 'special-defense': 35, 'speed': 72}"
20,raticate,['normal'],81,50,60,97,7,185,70,"run-away, guts, hustle",145,"swords-dance, cut, headbutt, tackle, body-slam, take-down, double-edge, tail-whip, bite, roar, water-gun, ice-beam, blizzard, bubble-beam, hyper-beam, counter, strength, thunderbolt, thunder-wave, thunder, dig, toxic, quick-attack, rage, mimic, double-team, defense-curl, focus-energy, bide, swift, skull-bash, fury-swipes, rest, hyper-fang, super-fang, substitute, thief, snore, curse, protect, scary-face, sludge-bomb, mud-slap, icy-wind, endure, swagger, attract, sleep-talk, return, frustration, pursuit, iron-tail, hidden-power, rain-dance, sunny-day, crunch, shadow-ball, rock-smash, uproar, facade, taunt, endeavor, secret-power, covet, shock-wave, natural-gift, pluck, u-turn, assurance, last-resort, sucker-punch, giga-impact, zen-headbutt, captivate, grass-knot, charge-beam, round, retaliate, work-up, wild-charge, confide, laser-focus, throat-chop, stomping-tantrum",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,"{'hp': 55, 'attack': 81, 'defense': 60, 'special-attack': 50, 'special-defense': 70, 'speed': 97}"
21,spearow,"['normal', 'flying']",60,31,30,70,3,20,31,"keen-eye, sniper",52,"razor-wind, wing-attack, whirlwind, fly, headbutt, fury-attack, take-down, double-edge, leer, growl, peck, drill-peck, toxic, agility, quick-attack, rage, mimic, double-team, focus-energy, bide, mirror-move, swift, sky-attack, rest, tri-attack, substitute, thief, snore, curse, protect, scary-face, feint-attack, mud-slap, detect, endure, false-swipe, swagger, steel-wing, attract, sleep-talk, return, frustration, pursuit, hidden-power, twister, rain-dance, sunny-day, uproar, heat-wave, facade, secret-power, feather-dance, astonish, air-cutter, aerial-ace, roost, natural-gift, pluck, tailwind, u-turn, assurance, defog, captivate, ominous-wind, round, echoed-voice, work-up, drill-run, confide",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,"{'hp': 40, 'attack': 60, 'defense': 30, 'special-attack': 31, 'special-defense': 31, 'speed': 70}"
22,fearow,"['normal', 'flying']",90,61,65,100,12,380,61,"keen-eye, sniper",155,"razor-wind, wing-attack, whirlwind, fly, headbutt, fury-attack, take-down, double-edge, leer, growl, hyper-beam, peck, drill-peck, toxic, agility, quick-attack, rage, mimic, double-team, focus-energy, bide, mirror-move, swift, sky-attack, rest, tri-attack, substitute, thief, snore, curse, protect, mud-slap, detect, endure, false-swipe, swagger, steel-wing, attract, sleep-talk, return, frustration, pursuit, hidden-power, twister, rain-dance, sunny-day, uproar, heat-wave, facade, secret-power, air-cutter, aerial-ace, roost, natural-gift, pluck, tailwind, u-turn, assurance, giga-impact, defog, captivate, ominous-wind, round, echoed-voice, work-up, drill-run, confide, laser-focus, throat-chop",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,"{'hp': 65, 'attack': 90, 'defense': 65, 'special-attack': 61, 'special-defense': 61, 'speed': 100}"
23,ekans,['poison'],60,40,44,55,20,69,54,"intimidate, shed-skin, unnerve",58,"bind, slam, headbutt, body-slam, wrap, take-down, double-edge, poison-sting, leer, bite, disable, acid, strength, mega-drain, earthquake, fissure, dig, toxic, rage, mimic, screech, double-team, haze, bide, skull-bash, glare, leech-life, rest, rock-slide, substitute, thief, snore, curse, spite, protect, scary-face, sludge-bomb, mud-slap, giga-drain, endure, swagger, attract, sleep-talk, return, frustration, pursuit, iron-tail, hidden-power, rain-dance, sunny-day, crunch, beat-up, stockpile, spit-up, swallow, torment, facade, knock-off, snatch, secret-power, poison-fang, rock-tomb, mud-shot, poison-tail, natural-gift, payback, gastro-acid, sucker-punch, toxic-spikes, poison-jab, dark-pulse, aqua-tail, seed-bomb, switcheroo, fire-fang, mud-bomb, gunk-shot, captivate, venoshock, sludge-wave, coil, acid-spray, round, bulldoze, snarl, belch, confide, infestation, brutal-swing, psychic-fangs, scale-shot, skitter-smack, lash-out, tera-blast, trailblaze",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,"{'hp': 35, 'attack': 60, 'defense': 44, 'special-attack': 40, 'special-defense': 54, 'speed': 55}"
24,arbok,['poison'],95,65,69,80,35,650,79,"intimidate, shed-skin, unnerve",157,"bind, slam, headbutt, body-slam, wrap, take-down, double-edge, poison-sting, leer, bite, acid, hyper-beam, strength, mega-drain, earthquake, fissure, dig, toxic, rage, mimic, screech, double-team, haze, bide, skull-bash, glare, leech-life, rest, rock-slide, substitute, thief, snore, curse, spite, protect, scary-face, sludge-bomb, mud-slap, giga-drain, endure, swagger, attract, sleep-talk, return, frustration, pain-split, iron-tail, hidden-power, rain-dance, sunny-day, crunch, stockpile, spit-up, swallow, torment, facade, knock-off, snatch, secret-power, poison-fang, rock-tomb, mud-shot, poison-tail, natural-gift, payback, gastro-acid, sucker-punch, toxic-spikes, poison-jab, dark-pulse, aqua-tail, seed-bomb, switcheroo, giga-impact, thunder-fang, ice-fang, fire-fang, mud-bomb, gunk-shot, captivate, venoshock, sludge-wave, coil, acid-spray, round, bulldoze, dragon-tail, snarl, belch, confide, infestation, throat-chop, brutal-swing, psychic-fangs, stomping-tantrum, breaking-swipe, scale-shot, skitter-smack, lash-out, tera-blast, trailblaze",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,"{'hp': 60, 'attack': 95, 'defense': 69, 'special-attack': 65, 'special-defense': 79, 'speed': 80}"
25,pikachu,['electric'],55,50,40,90,4,60,50,"static, lightning-rod",112,"mega-punch, pay-day, thunder-punch, slam, double-kick, mega-kick, headbutt, body-slam, take-down, double-edge, tail-whip, growl, surf, submission, counter, seismic-toss, strength, thunder-shock, thunderbolt, thunder-wave, thunder, dig, toxic, agility, quick-attack, rage, mimic, double-team, defense-curl, light-screen, reflect, bide, swift, skull-bash, flash, rest, substitute, thief, snore, curse, reversal, protect, sweet-kiss, mud-slap, zap-cannon, detect, endure, charm, rollout, swagger, spark, attract, sleep-talk, return, frustration, dynamic-punch, encore, iron-tail, hidden-power, rain-dance, rock-smash, uproar, facade, focus-punch, charge, helping-hand, brick-break, knock-off, endeavor, secret-power, fake-tears, signal-beam, covet, volt-tackle, calm-mind, shock-wave, natural-gift, feint, fling, magnet-rise, nasty-plot, discharge, captivate, grass-knot, charge-beam, electro-ball, round, echoed-voice, volt-switch, electroweb, wild-charge, disarming-voice, draining-kiss, play-rough, play-nice, confide, eerie-impulse, electric-terrain, nuzzle, laser-focus, rising-voltage, tera-blast, trailblaze, alluring-voice, upper-hand",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,"{'hp': 35, 'attack': 55, 'defense': 40, 'special-attack': 50, 'special-defense': 50, 'speed': 90}"
26,raichu,['electric'],90,90,55,110,8,300,80,"static, lightning-rod",243,"mega-punch, pay-day, thunder-punch, slam, mega-kick, headbutt, body-slam, take-down, double-edge, tail-whip, growl, surf, hyper-beam, submission, counter, seismic-toss, strength, thunder-shock, thunderbolt, thunder-wave, thunder, dig, toxic, agility, quick-attack, rage, mimic, double-team, defense-curl, light-screen, reflect, bide, swift, skull-bash, flash, rest, substitute, thief, snore, curse, reversal, protect, sweet-kiss, mud-slap, zap-cannon, detect, endure, charm, rollout, swagger, spark, attract, sleep-talk, return, frustration, safeguard, dynamic-punch, encore, iron-tail, hidden-power, rain-dance, rock-smash, fake-out, uproar, facade, focus-punch, charge, helping-hand, brick-break, knock-off, endeavor, secret-power, signal-beam, covet, calm-mind, shock-wave, natural-gift, feint, fling, magnet-rise, focus-blast, giga-impact, nasty-plot, discharge, captivate, grass-knot, charge-beam, electro-ball, round, echoed-voice, volt-switch, electroweb, wild-charge, disarming-voice, draining-kiss, play-rough, play-nice, confide, eerie-impulse, electric-terrain, nuzzle, laser-focus, speed-swap, brutal-swing, rising-voltage, tera-blast, trailblaze, alluring-voice, upper-hand",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,"{'hp': 60, 'attack': 90, 'defense': 55, 'special-attack': 90, 'special-defense': 80, 'speed': 110}"
